objective,Scored Labels
51514,53068.64453
51609,52690.89844
51958,51958
51938,51958
51998,53833.72656
52034,52867.16016
52117,53011.87109
52184,52184
52184,52838.35938
52190,52202.00781
52195,53123.57031
52202,52202
52874,52202
52216,52202
52216,52202.01953
52382,52382
54682,53093.62891
52385,52385
52416,52385.07813
52467,52982.45313
52478,52691.29297
52492,52184.03125
52494,52385.00781
52501,53336.05469
52513,52563
52558,52525.13672
52563,52563
52574,52753.25391
52642,53521.82813
52651,52651
52653,52563
52691,52691
52691,52691
52731,53047.35156
52731,52731
53260,52731
52748,54054.92578
52757,52757
52767,52202.01563
52788,52788
52802,53524.08203
52804,52804
55243,52804
52824,52824
52828,52906.07031
52837,52884.93359
52847,52993.26172
52876,52876
52879,52879
52905,52905
52915,53884.46484
52918,53022.00391
52951,52951
52955,53314.00391
52964,52964
52977,53089
52993,52993
52817,52993.09375
53008,52961.51172
53022,53022
53693,53022
53033,52640.49609
53035,53975.85156
53039,53039
53042,53042
53697,53042
53065,53129.98438
53089,53089
53091,53274.17188
53092,53122.57813
53093,53928.66797
53097,53089.20703
53099,53099
53611,53099
53113,53113
53118,53420.39844
53122,53700.13672
53134,53134
53136,53325.12891
53142,53660.51563
53144,53144
53153,53153
53166,53166
53167,53167
53186,53186
53188,53188
53190,53981.14453
53217,53217
53220,53220
53225,53899.39844
53227,53497.15625
53238,52808.58203
53257,52987.33984
53268,53268
53275,53275
53277,53277
53290,52742.25781
53295,53295
53299,51995.61719
53300,53300
