objective,Scored Labels
45237,46063.39453
45445,46081.69922
45464,46185.26172
45486,47877.45703
45487,45487.01953
45515,45478.91016
45538,45582.89844
45568,45568.08594
45568,45568
45574,45862.23047
45598,45597.99219
45642,45450.87891
45647,45646.96094
45660,45946.66797
45713,45905.85156
45723,45723
45735,45735.00391
45865,45735.00391
48231,45908.33984
45775,46008.24609
45776,45844.37891
45778,45643.29688
45795,45795.00391
45800,46043.42969
45822,45821.99609
45823,45923.00781
45827,45826.97266
45838,45716.61719
46932,45900.14063
45839,46232.78516
45842,45727.44141
45846,45417.35156
45858,45857.99609
45867,45866.97266
47705,45874.66797
45872,45872.03125
45880,45879.97656
46783,45888.76172
45928,45879.92578
45881,46209.04297
45886,45787.67969
45889,45888.98438
45890,45890.04297
45903,46181.66406
45906,45837.51953
45916,45916
45943,45924.45313
47624,45916
46546,45930.56641
45928,45928.01563
45931,45931.07422
46433,45969.52734
45935,46126.83594
45943,46419.71094
45945,45945
45946,46558.94531
45946,45946
46706,46359.41797
45963,45963.00781
45971,46102.95703
45994,46307.63672
45997,45997.04297
46013,46068.33594
46014,46014.01172
46016,46015.97266
46023,45923.00781
48811,45923.00781
46026,46026.03906
46033,46033.09766
46035,46034
46037,45771.71484
46038,46038.00391
47925,46037.36719
46456,46038.00391
46530,46083.86719
46041,46040.98047
46049,46048.95313
46052,46051.98828
49374,46051.98828
46055,46107.94141
46056,46056.17969
48841,46056.17969
46056,46055.99219
46062,46061.97656
46066,46066.01953
46067,46067.03906
46068,46476.05078
46069,46069.00391
46070,46068.33594
46072,46071.99219
47096,46070.12891
46075,46075.00391
46082,46082.03125
46088,46088
46088,46087.96484
46366,46088
46089,46287.04297
46091,46523.80859
46097,46097.05469
46097,46096.95703
